id,title,abstract,categories,authors,date,research_type,y_true
2503.02738,"Variable-Friction In-Hand Manipulation for Arbitrary Objects via
  Diffusion-Based Imitation Learning","Dexterous in-hand manipulation (IHM) for arbitrary objects is challenging due
to the rich and subtle contact process. Variable-friction manipulation is an
alternative approach to dexterity, previously demonstrating robust and
versatile 2D IHM capabilities with only two single-joint fingers. However, the
hard-coded manipulation methods for variable friction hands are restricted to
regular polygon objects and limited target poses, as well as requiring the
policy to be tailored for each object. This paper proposes an end-to-end
learning-based manipulation method to achieve arbitrary object manipulation for
any target pose on real hardware, with minimal engineering efforts and data
collection. The method features a diffusion policy-based imitation learning
method with co-training from simulation and a small amount of real-world data.
With the proposed framework, arbitrary objects including polygons and
non-polygons can be precisely manipulated to reach arbitrary goal poses within
2 hours of training on an A100 GPU and only 1 hour of real-world data
collection. The precision is higher than previous customized object-specific
policies, achieving an average success rate of 71.3% with average pose error
being 2.676 mm and 1.902 degrees.",['cs.RO'],"['Yan Qiyang', 'Ding Zihan', 'Zhou Xin', 'Spiers Adam J.']",2025-03-04,,False
2502.16086,"Stealing Training Data from Large Language Models in Decentralized
  Training through Activation Inversion Attack","Decentralized training has become a resource-efficient framework to
democratize the training of large language models (LLMs). However, the privacy
risks associated with this framework, particularly due to the potential
inclusion of sensitive data in training datasets, remain unexplored. This paper
identifies a novel and realistic attack surface: the privacy leakage from
training data in decentralized training, and proposes \textit{activation
inversion attack} (AIA) for the first time. AIA first constructs a shadow
dataset comprising text labels and corresponding activations using public
datasets. Leveraging this dataset, an attack model can be trained to
reconstruct the training data from activations in victim decentralized
training. We conduct extensive experiments on various LLMs and publicly
available datasets to demonstrate the susceptibility of decentralized training
to AIA. These findings highlight the urgent need to enhance security measures
in decentralized training to mitigate privacy risks in training LLMs.",['cs.CR'],"['Dai Chenxi', 'Lu Lin', 'Zhou Pan']",2025-02-22,,False
2501.16725,"A strategic planning of a digital copy (an enterprise) as a task of
  control a dynamic system","The area of research includes: control theory, dynamic systems, parameters of
the external environment, mode, integral indicators, strategy. The general
problem of assessing the state of large economic objects (enterprises) is
revealed. There is no unified assessment a control of through strategic
planning. The article proposes an integral indicator method for a unified
assessment of the enterprise. The enterprise is formalized as a digital copy.
The digital copy includes all business processes at any given time. The digital
copy is presented as a multidimensional dynamic system. Dimension of
multidimensional dynamic system is 1.2 parameters This allows you to estimate
the modes operation of the enterprise in the normal mode and in the mode for
control of strategic planning.",['math.OC'],"['Masaev Seregey', 'Vingert Valentina', 'Bogdanov Alexey', 'Salal Yass']",2025-01-28,,False
2501.1819,"Economic Rationality under Specialization: Evidence of Decision Bias in
  AI Agents","In the study by Chen et al. (2023) [01], the large language model GPT
demonstrated economic rationality comparable to or exceeding the average human
level in tasks such as budget allocation and risk preference. Building on this
finding, this paper further incorporates specialized agents, such as
biotechnology experts and economists, for a horizontal comparison to explore
whether specialization can enhance or maintain economic rationality equivalent
to that of GPT in similar decision-making scenarios. The results indicate that
when agents invest more effort in specialized fields, their decision-making
behavior is more prone to 'rationality shift,' specifically manifested as
increased violations of GARP (Generalized Axiom of Revealed Preference),
decreased CCEI (Critical Cost Efficiency Index), and more significant decision
deviations under high-risk conditions. In contrast, GPT and more generalized
basic agents maintain a more stable and consistent level of rationality across
multiple tasks. This study reveals the inherent conflict between specialization
and economic rationality, providing new insights for constructing AI
decision-making systems that balance specialization and generalization across
various scenarios.",['cs.AI'],['Wen ShuiDe'],2025-01-30,,False
2501.18564,"SAM2Act: Integrating Visual Foundation Model with A Memory Architecture
  for Robotic Manipulation","Robotic manipulation systems operating in diverse, dynamic environments must
exhibit three critical abilities: multitask interaction, generalization to
unseen scenarios, and spatial memory. While significant progress has been made
in robotic manipulation, existing approaches often fall short in generalization
to complex environmental variations and addressing memory-dependent tasks. To
bridge this gap, we introduce SAM2Act, a multi-view robotic transformer-based
policy that leverages multi-resolution upsampling with visual representations
from large-scale foundation model. SAM2Act achieves a state-of-the-art average
success rate of 86.8% across 18 tasks in the RLBench benchmark, and
demonstrates robust generalization on The Colosseum benchmark, with only a 4.3%
performance gap under diverse environmental perturbations. Building on this
foundation, we propose SAM2Act+, a memory-based architecture inspired by SAM2,
which incorporates a memory bank, an encoder, and an attention mechanism to
enhance spatial memory. To address the need for evaluating memory-dependent
tasks, we introduce MemoryBench, a novel benchmark designed to assess spatial
memory and action recall in robotic manipulation. SAM2Act+ achieves competitive
performance on MemoryBench, significantly outperforming existing approaches and
pushing the boundaries of memory-enabled robotic systems. Project page:
https://sam2act.github.io/",['cs.RO'],"['Fang Haoquan', 'Grotz Markus', 'Pumacay Wilbert', 'Wang Yi Ru', 'Fox Dieter', 'Krishna Ranjay', 'Duan Jiafei']",2025-01-30,,False
2501.14574,"Harmonization of Noise Measurement Methods: Measurements of radio
  impulsive noise from a specific source","This article describes a procedure for measuring and evaluating radio
impulsive noise (IN) from a specific source. A good knowledge of the noise
caused by different sources is essential to plan radio services and to ensure
good quality of service. Moreover, it is necessary to harmonize noise
measurement methods to achieve results that can be mutually compared. This
article not only provides steps that should be followed to make proper
measurements, but also specifies appropriate parameters to characterize the IN
when it is generated by a principal source. A detailed description of parameter
calculation is presented, based on the recommendations of the International
Telecommunication Union (ITU). This answers the request made in an ITU-R
214-4/3 question, which suggests determining the appropriate parameters to
describe the noise when it has an impulsive characteristic.",['eess.SP'],"['Fernandez Marta', 'Landa Iratxe', 'Arrinda Amaia', 'Torre Ruben', 'Velez Manuel']",2025-01-24,,False
2502.17094,"Qualitative quasi-invariance of low regularity Gaussian measures for the
  1d quintic nonlinear Schr\""odinger equation","We consider the 1d quintic nonlinear Schr\""odinger equation (NLS) on the
torus with initial data distributed according to the Gaussian measures with
covariance operator $(1-\Delta)^{-s}$, and denoted $\mu_s$. For the full range
$s>\frac{9}{10}$, we prove that these Gaussian measures are quasi-invariant
along the flow of (NLS), meaning that the law of the solution at any time is
absolutely continuous with respect to the initial Gaussian measure. Moreover,
the condition $s>\frac{9}{10}$ corresponds to the threshold where the Sobolev
space $H^{\frac{2}{5}+}(\mathbb{T})$ is of $\mu_s$-full measure (it is of zero
$\mu_s$-measure otherwise). This is the lower regularity Sobolev space where we
currently know that (NLS) is globally well-posed, thanks to a work by LI-WU-XU.
The present work extends the known threshold $s>\frac{3}{2}$ for the
quasi-invariance down to $s>\frac{9}{10}$, but we do not obtain here
quantitative results on the Radon-Nikodym derivatives. Our approach is based on
a work of Sun-Tzvetkov, combining a Poincar\'e-Dulac normal form reduction with
energy estimates. However, our main tool to obtain these energy estimates
differs: we use the Bou\'e-Dupuis variational formula instead of Wiener Chaos.",['math.AP'],['Knezevitch Alexis'],2025-02-24,,False
2503.16181,"Analyzing the Morphology of Late-phase Stellar Flares From G-, K-, and
  M-type Stars","Stellar flares occasionally present a $\textit{peak-bump}$ light curve
morphology, consisting of an initial impulsive phase followed by a gradual late
phase. Analyzing this specific morphology can uncover the underlying physics of
stellar flare dynamics, particularly the plasma
heating-evaporation-condensation process. While previous studies have mainly
examined peak-bump occurrences on M-dwarfs, this report extends the
investigation to G-, K-, and M-type stars. We utilize the flare catalog
published by arXiv:2212.00993, encompassing 12,597 flares, detected by using
$\textit{Transiting Exoplanet Survey Satellite}$ (TESS) observations. Our
analysis identifies 10,142 flares with discernible classical and complex
morphology, of which 197 ($\sim1.9\%$) exhibit the peak-bump feature. We delve
into the statistical properties of these TESS late-phase flares, noting that
both the amplitude and full-width-half-maximum (FWHM) duration of both the
peaks and bumps show positive correlations across all source-star spectral
types, following a power law with indices 0.69 $\pm$ 0.09 and 1.0 $\pm$ 0.15,
respectively. Additionally, a negative correlation between flare amplitude and
the effective temperature of their host stars is observed. Compared to the
other flares in our sample, peak-bump flares tend to have larger and longer
initial peak amplitudes and FWHM durations, and possess energies ranging from
$10^{31}$ to $10^{36}$ erg.",['astro-ph.SR'],"['Yudovich Denise G.', 'Yang Kai E.', 'Sun Xudong']",2025-03-20,,False
2503.02619,XFMamba: Cross-Fusion Mamba for Multi-View Medical Image Classification,"Compared to single view medical image classification, using multiple views
can significantly enhance predictive accuracy as it can account for the
complementarity of each view while leveraging correlations between views.
Existing multi-view approaches typically employ separate convolutional or
transformer branches combined with simplistic feature fusion strategies.
However, these approaches inadvertently disregard essential cross-view
correlations, leading to suboptimal classification performance, and suffer from
challenges with limited receptive field (CNNs) or quadratic computational
complexity (transformers). Inspired by state space sequence models, we propose
XFMamba, a pure Mamba-based cross-fusion architecture to address the challenge
of multi-view medical image classification. XFMamba introduces a novel
two-stage fusion strategy, facilitating the learning of single-view features
and their cross-view disparity. This mechanism captures spatially long-range
dependencies in each view while enhancing seamless information transfer between
views. Results on three public datasets, MURA, CheXpert and DDSM, illustrate
the effectiveness of our approach across diverse multi-view medical image
classification tasks, showing that it outperforms existing convolution-based
and transformer-based multi-view methods. Code is available at
https://github.com/XZheng0427/XFMamba.",['cs.CV'],"['Zheng Xiaoyu', 'Chen Xu', 'Gong Shaogang', 'Griffin Xavier', 'Slabaugh Greg']",2025-03-04,,False
2502.19509,Geometric deformations of implicit curves,"Let f = 0 be an implicit singular plane curve. When deforming f = 0,
inflections and vertex emerge from the singularities. In this papper, we
classify the deformations of f = 0 with respect to the inflections and the
vertices in the cases of codimension less than or equal to 2, that is, in the
cases that occur generically in families of implicit curves with 2 parameters.",['math.DG'],"['Fernandes Marco Antônio do Couto', 'Santos Samuel Paulino dos']",2025-02-26,,False
