id,date,a_abstract,b_id,b_abstract,b_categories,c_id,c_abstract,c_categories,y_true,research_type,a_title,a_categories,b_title,c_title
neg-d2-0,2025-03-06,,2503.04166," We study the composition of bivariate L\'evy process with bivariate inverse
subordinator. The explicit expressions for its dispersion and auto correlation
matrices are obtained. Also, the time-changed two parameter L\'evy processes
with rectangular increments are studied. We introduce some time-changed
variants of the Poisson random field in plane with and without drift, and
derive the associated fractional differential equations for their
distributions. Later, we consider some time-changed L\'evy processes where the
time-changing components are two parameter Poisson random fields with drifts.
Moreover, two parameter coordinatewise semigroup operators associated with some
of the introduced processes are discussed.",['math.PR'],2502.13448," In this paper, we establish three criteria for the asymptotic behavior of
Markov-Feller semigroups. First, we present a criterion for convergence in
total variation to a unique invariant measure, requiring only $TV$-eventual
continuity of the semigroup at a single point. Second, we propose two new
criteria for asymptotic stability that require eventual continuity at a single
point. This localized condition is more practical and easier to check. To
illustrate the advantages of our framework, we provide an explicit example
where verifying eventual continuity at a single point is straightforward,
whereas establishing the corresponding global property is challenging.",['math.PR'],False,,,,On Two Parameter Time-Changed Poisson Random Fields with Drifts,"Criteria for asymptotic stability of eventually continuous Markov-Feller
  semigroups"
neg-d2-1,2025-02-26,,2502.18931," We investigate axion emission from singlet proton Cooper pairs in neutron
stars, a process that dominates axion emission in young neutron stars in the
KSVZ model. By re-deriving its emissivity, we confirm consistency with most
existing literature, except for a recent study that exhibits a different
dependence on the effective mass. This discrepancy results in more than an
order-of-magnitude deviation in emissivity, significantly impacting constraints
on the KSVZ axion from the cooling observations of the Cassiopeia A neutron
star. Furthermore, we examine uncertainties arising from neutron-star equations
of state and their role in the discrepancy, finding that the large deviation
persists regardless of the choice of equations of state.",['hep-ph'],2503.1081," We investigate the factorization properties of the massive fermion form
factor in QED, to next-to-leading power in the fermion mass, and up to two-loop
order. For this purpose we define new jet functions that have multiple
connections to the hard part as operator matrix elements, and compute them to
second order in the coupling. We test our factorization formula using these new
jet functions in a region-based analysis and find that factorization indeed
holds. We address a number of subtle aspects such as rapidity regulators and
external line corrections, and we find an interesting sequence of relations
among the jet functions.",['hep-ph'],False,,,,Axion Emission from Proton Cooper Pairs in Neutron Stars,Next-to-leading power jet functions in the small-mass limit in QED
neg-d2-2,2025-03-03,,2503.01833," Lateral heterostructures built of monolayers of transition metal
dichalcogenides (TMDs) are characterized by a thin 1D interface exhibiting a
large energy offset. Recently, the formation of spatially separated
charge-transfer (CT) excitons at the interface has been demonstrated. The
technologically important exciton propagation across the interface and the
impact of CT excitons has remained in the dark so far. In this work, we
microscopically investigate the spatiotemporal exciton dynamics in the
exemplary hBN-encapsulated WSe$_2$-MoSe$_2$ lateral heterostructure and reveal
a highly interesting interplay of energy offset-driven unidirectional exciton
drift across the interface and efficient capture into energetically lower CT
excitons at the interface. This interplay triggers a counterintuitive thermal
control of exciton transport with a less efficient propagation at lower
temperatures - opposite to the behavior in conventional semiconductors. We
predict clear signatures of this intriguing exciton propagation both in far-
and near-field photoluminescence experiments. Our results present an important
step toward a microscopic understanding of the technologically relevant
unidirectional exciton transport in lateral heterostructures.",['cond-mat.mes-hall'],2502.12931," We continue our explorations of the transport characteristics in
junction-configurations comprising semimetals with quadratic band-crossings,
observed in the bandstructures of both two- and three-dimensional materials.
Here, we consider short potential barriers/wells modelled by delta-function
potentials. We also generalize our analysis by incorporating tilts in the
dispersion. Due to the parabolic nature of the spectra, caused by
quadratic-in-momentum dependence, there exist evanescent waves, which decay
exponentially as we move away from the junction represented by the location of
the delta-function potential. Investigating the possibility of the appearance
of bound states, we find that their energies appear as pairs of $\pm |E_b |$,
reflecting the presence of the imaginary-valued wavevectors at both positive
and negative values of energies of the propagating quasiparticles.",['cond-mat.mes-hall'],False,,,,"Impact of charge transfer excitons on unidirectional exciton transport
  in lateral TMD heterostructures","Delta-function-potential junctions with quasiparticles occupying tilted
  bands with quadratic-in-momentum dispersion"
neg-d2-3,2025-02-16,,2502.11434," The KM3Net Collaboration has recently reported on the observation of a
remarkable event KM3-230213A that could have been produced by an ultra high
energy cosmic neutrino. The origin of this event is still unclear. In
particular, the cosmogenic neutrino scenario is not favoured due to the
non-observation of a similar event by the IceCube detector, and most galactic
scenarios are disfavoured as well. We show that the blazar PKS 0605-085 is a
viable source of the KM3-230213A event. In particular, even though this blazar
is located at 2.4$^{\circ}$ from the KM3-230213A event, the association between
the blazar and the event is not unlikely due to a sizable direction systematic
uncertainty of $\approx 1.5^{\circ}$ reported by the KM3Net Collaboration.
Furthermore, we show that the observation of a $\approx$72 PeV neutrino from
PKS 0605-085 is entirely possible given that a $\approx$7.5 PeV neutrino could
have been observed from another blazar TXS 0506+056. Finally, we consider
$\gamma$-ray constraints on the number of observable neutrino events and show
that for the case of the external photon field production mechanism these
constraints could be relaxed due to the often-neglected effect of the
isotropisation of the hadronically-produced electrons in the magnetic field of
the blob. We encourage further multi-wavelength observations of the blazar PKS
0605-085.",['astro-ph.HE'],2502.0115," This study analyzes the multi-wavelength flaring activity of the distant flat
spectrum radio quasar (FSRQ) OP 313 (z=0.997) during November 2023 to March
2024, using data from Fermi-Large Area Telescope, Swift X-ray Telescope, and
Ultraviolet and Optical Telescope. The analysis highlights two significant very
high energy(VHE) detection epochs and GeV gamma-ray flaring episodes, providing
insight into jet emission processes and radiative mechanisms. Key findings
include broadband spectral energy distribution (SED) evolution, including
enigmatic X-ray spectral changes. Modeling of the multi-wavelength SED with a
one-zone leptonic radiative processes attributes the emissions to synchrotron
radiation, Synchrotron Self-Compton (SSC), and External Compton (EC)
mechanisms, with torus photons as the primary source for EC processes. The
results suggest that the gamma-ray emitting region lies outside the broad-line
region but within the dusty torus. Furthermore, we find that the radiated power
is significantly smaller than the total jet power, suggesting that most of the
bulk energy remains within the jet even after passing through the blazar
emission zone. These findings advance our understanding of particle
acceleration, jet dynamics, and photon field interactions in FSRQs.",['astro-ph.HE'],False,,,,"The blazar PKS 0605-085 as the origin of the KM3-230213A ultra high
  energy neutrino event","Deciphering the Multi-Wavelength Flares of the Most Distant Very
  High-Energy (>100 GeV) Gamma-ray Emitting Blazar"
neg-d2-4,2025-03-07,,2503.05561," Chatbots are software typically embedded in Web and Mobile applications
designed to assist the user in a plethora of activities, from chit-chatting to
task completion. They enable diverse forms of interactions, like text and voice
commands. As any software, even chatbots are susceptible to bugs, and their
pervasiveness in our lives, as well as the underlying technological
advancements, call for tailored quality assurance techniques. However, test
case generation techniques for conversational chatbots are still limited. In
this paper, we present Chatbot Test Generator (CTG), an automated testing
technique designed for task-based chatbots. We conducted an experiment
comparing CTG with state-of-the-art BOTIUM and CHARM tools with seven chatbots,
observing that the test cases generated by CTG outperformed the competitors, in
terms of robustness and effectiveness.",['cs.SE'],2501.02875," Mutation testing may be used to guide test case generation and as a technique
to assess the quality of test suites. Despite being used frequently, mutation
testing is not so commonly applied in the mobile world. One critical challenge
in mutation testing is dealing with its computational cost. Generating mutants,
running test cases over each mutant, and analyzing the results may require
significant time and resources. This research aims to contribute to reducing
Android mutation testing costs. It implements mutation testing operators
(traditional and Android-specific) according to mutant schemata (implementing
multiple mutants into a single code file). It also describes an Android
mutation testing framework developed to execute test cases and determine
mutation scores. Additional mutation operators can be implemented in JavaScript
and easily integrated into the framework. The overall approach is validated
through case studies showing that mutant schemata have advantages over the
traditional mutation strategy (one file per mutant). The results show mutant
schemata overcome traditional mutation in all evaluated aspects with no
additional cost: it takes 8.50% less time for mutant generation, requires
99.78% less disk space, and runs, on average, 6.45% faster than traditional
mutation. Moreover, considering sustainability metrics, mutant schemata have
8,18% less carbon footprint than traditional strategy.",['cs.SE'],False,,,,Test Case Generation for Dialogflow Task-Based Chatbots,METFORD -- Mutation tEsTing Framework fOR anDroid
neg-d2-5,2025-02-04,,2502.02677," Research on ultra-high dose rate (UHDR) radiation therapy has indicated its
potential to spare normal tissue while maintaining equivalent tumor control
compared to conventional treatments. First clinical trials are underway. The
randomized phase II/III FEATHER clinical trial at the Paul Scherrer Institute
in collaboration with the University of Zurich Animal Hospital is one of the
first curative domestic animal trials to be attempted, and it is designed to
provide a good example for human trials. However, the lack of standardized
quality assurance (QA) guidelines for FLASH clinical trials presents a
significant challenge in trial design. This work aims to demonstrate the
development and testing of QA and reporting procedures implemented in the
FEATHER clinical trial. We have expanded the clinical QA program to include
UHDR-specific QA and additional patient-specific QA. Furthermore, we have
modified the monitor readout to enable time-resolved measurements, allowing
delivery log files to be used for dose and dose rate recalculations. Finally,
we developed a reporting strategy encompassing relevant parameters for
retrospective studies. We evaluated our QA and reporting procedures with
simulated treatments. This testing confirmed that our QA procedures effectively
ensure the correct and safe delivery of the planned dose. Additionally, we
demonstrated that we could reconstruct the delivered dose and dose rate using
the delivery log files. We developed and used in practice a comprehensive QA
and reporting protocol for a FLASH clinical trial at the Paul Scherrer
Institute. This work aims to establish guidelines and standardize reporting
practices for future advancements in the FLASH-RT field.",['physics.med-ph'],2501.08827," The key molecules such as triphosphate (ATP), glutathione (GSH), and
homocarnosine (hCs) - central to metabolic processes in the human brain remain
elusive or challenging to detect with upfield 1H-MRSI. Traditional 3D 1H-MRSI
in vivo faces challenges, including a low signal-to-noise ratio and
magnetization transfer effects with water, leading to prolonged measurement
times and reduced resolution. To address these limitations, we propose a
downfield 3D-MRSI method aimed at measuring downfield metabolites with enhanced
spatial resolution, and speed acceptable for clinical practice at 7T. The
CHEmical-shift selective Adiabatic Pulse (CHEAP) technique was integrated into
echo-planar spectroscopic imaging (EPSI) readout sequence for downfield
metabolite and water reference 3D-MRSI. Five healthy subjects and two glioma
patients were scanned to test the feasibility. In this work, CHEAP-EPSI
technique is shown to significantly enhance spatial the resolution to 0.37 ml
while simultaneously reducing the scan time to 10.5 minutes. Its distinct
advantages include low specific absorption rate, effective suppression of water
and lipid signals, and minimal baseline distortions, making it a valuable tool
for research or potentially diagnostic purposes. CHEAP-EPSI improves the
detection sensitivity of downfield metabolites like N-acetyl-aspartate (NAA+)
and DF8.18 (ATP&GSH+), and offers new possibilities for the study of metabolism
in healthy and diseased brain.",['physics.med-ph'],False,,,,"Quality assurance and reporting for FLASH clinical trials:the experience
  of the FEATHER trial","CHEmical-shift selective Adiabatic Pulse (CHEAP): Fast and High
  Resolution Downfield 3D 1H-MRSI at 7T"
neg-d2-6,2025-01-02,,2501.01344," This paper presents a suite of machine learning models, CRC-ML-Radio Metrics,
designed for modeling RSRP, RSRQ, and RSSI wireless radio metrics in 4G
environments. These models utilize crowdsourced data with local environmental
features to enhance prediction accuracy across both indoor at elevation and
outdoor urban settings. They achieve RMSE performance of 9.76 to 11.69 dB for
RSRP, 2.90 to 3.23 dB for RSRQ, and 9.50 to 10.36 dB for RSSI, evaluated on
over 300,000 data points in the Toronto, Montreal, and Vancouver areas. These
results demonstrate the robustness and adaptability of the models, supporting
precise network planning and quality of service optimization in complex
Canadian urban environments.",['cs.LG'],2501.01344," This paper presents a suite of machine learning models, CRC-ML-Radio Metrics,
designed for modeling RSRP, RSRQ, and RSSI wireless radio metrics in 4G
environments. These models utilize crowdsourced data with local environmental
features to enhance prediction accuracy across both indoor at elevation and
outdoor urban settings. They achieve RMSE performance of 9.76 to 11.69 dB for
RSRP, 2.90 to 3.23 dB for RSRQ, and 9.50 to 10.36 dB for RSSI, evaluated on
over 300,000 data points in the Toronto, Montreal, and Vancouver areas. These
results demonstrate the robustness and adaptability of the models, supporting
precise network planning and quality of service optimization in complex
Canadian urban environments.",['cs.LG'],False,,,,"Machine Learning for Modeling Wireless Radio Metrics with Crowdsourced
  Data and Local Environment Features","Machine Learning for Modeling Wireless Radio Metrics with Crowdsourced
  Data and Local Environment Features"
neg-d2-7,2025-02-14,,2502.1037," We provide explicit formulas for the Alexander polynomial of Pretzel knots
and establish several immediate corollaries, including the characterization of
Pretzel knots with a trivial Alexander polynomial.",['math.GT'],2502.1037," We provide explicit formulas for the Alexander polynomial of Pretzel knots
and establish several immediate corollaries, including the characterization of
Pretzel knots with a trivial Alexander polynomial.",['math.GT'],False,,,,Explicit Formulas for the Alexander Polynomial of Pretzel Knots,Explicit Formulas for the Alexander Polynomial of Pretzel Knots
neg-d2-8,2025-02-17,,2502.12487," We present the explicit form of the Regge trajectory relations for the doubly
heavy baryons $\Xi_{QQ'}$ and $\Omega_{QQ'}$ $(Q,Q'=b,c)$ in the diquark
picture. Using the derived Regge trajectory relations, we estimate the masses
of the $\lambda$-excited states and the $\rho$-excited states, which are
consistent with other theoretical predictions. Both the $\lambda$-trajectories
and $\rho$-trajectories are discussed. We show that the $\rho$-trajectories
behave differently from the $\lambda$-trajectories. Specifically, the
$\rho$-trajectories behave as $M{\sim}x_{\rho}^{2/3}$ $(x_{\rho}=n_r,l)$,
whereas the $\lambda$-trajectories follow $M{\sim}x_{\lambda}^{1/2}$
$(x_{\lambda}=N_r,L)$. By using the obtained relations, the baryon Regge
trajectory provides a straightforward and easy method for estimating the
spectra of both the $\lambda$-excited states and $\rho$-excited states.",['hep-ph'],2501.15649," The evidence of a Stochastic Gravitational Wave Background (SGWB) in the nHz
frequency range is posed to open a new window on the Universe. A preferred
explanation relies on a supercooled first order phase transition at the 100 MeV
- GeV scale. In this article, we address the feasibility going from the
particle physics model to the production of the gravitational waves. We take a
minimal approach for the dark sector model introducing the fewest ingredients
required, namely a new U(1) gauge group and a dark scalar that dynamically
breaks the symmetry. Supercooling poses challenges in the analysis that put
under question the feasibility of this explanation: we address them, going
beyond previous studies by carefully considering the effects of a vacuum
domination phase and explicitly tracking the phase transition from its onset to
its completion. We find that the proposed model can successfully give origin to
the observed PTA SGWB signal. The strong supercooling imposes a correlation
between the new gauge coupling and the scalar quartic one, leading to a
significant hierarchy between the (heavier) gauge boson and the dark scalar.
Ultimately, information on phase transitions from SGWB observations could
provide a direct probe of the microphysics of the Early Universe and be used to
guide future searches of dark sector in laboratories.",['hep-ph'],False,,,,"$\lambda$ and $\rho$ trajectories for the doubly heavy baryons in the
  diquark picture",Supercooled Dark Scalar Phase Transitions explanation of NANOGrav data
neg-d2-9,2025-01-11,,2501.06493," Efficient motion planning for Aerial Manipulators (AMs) is essential for
tackling complex manipulation tasks, yet achieving coupled trajectory planning
remains challenging. In this work, we propose, to the best of our knowledge,
the first whole-body integrated motion planning framework for aerial
manipulators, which is facilitated by an improved Safe Flight Corridor (SFC)
generation strategy and high-dimensional collision-free trajectory planning. In
particular, we formulate an optimization problem to generate feasible
trajectories for both the quadrotor and manipulator while ensuring collision
avoidance, dynamic feasibility, kinematic feasibility, and waypoint
constraints. To achieve collision avoidance, we introduce a variable geometry
approximation method, which dynamically models the changing collision volume
induced by different manipulator configurations. Moreover, waypoint constraints
in our framework are defined in $\mathrm{SE(3)\times\mathbb{R}^3}$, allowing
the aerial manipulator to traverse specified positions while maintaining
desired attitudes and end-effector states. The effectiveness of our framework
is validated through comprehensive simulations and real-world experiments
across various environments.",['cs.RO'],2501.15272," Transporting a heavy payload using multiple aerial robots (MARs) is an
efficient manner to extend the load capacity of a single aerial robot. However,
existing schemes for the multiple aerial robots transportation system (MARTS)
still lack the capability to generate a collision-free and dynamically feasible
trajectory in real-time and further track an agile trajectory especially when
there are no sensors available to measure the states of payload and cable.
Therefore, they are limited to low-agility transportation in simple
environments. To bridge the gap, we propose complete planning and control
schemes for the MARTS, achieving safe and agile aerial transportation (SAAT) of
a cable-suspended payload in complex environments. Flatness maps for the aerial
robot considering the complete kinematical constraint and the dynamical
coupling between each aerial robot and payload are derived. To improve the
responsiveness for the generation of the safe, dynamically feasible, and agile
trajectory in complex environments, a real-time spatio-temporal trajectory
planning scheme is proposed for the MARTS. Besides, we break away from the
reliance on the state measurement for both the payload and cable, as well as
the closed-loop control for the payload, and propose a fully distributed
control scheme to track the agile trajectory that is robust against imprecise
payload mass and non-point mass payload. The proposed schemes are extensively
validated through benchmark comparisons, ablation studies, and simulations.
Finally, extensive real-world experiments are conducted on a MARTS integrated
by three aerial robots with onboard computers and sensors. The result validates
the efficiency and robustness of our proposed schemes for SAAT in complex
environments.",['cs.RO'],False,,,,Whole-Body Integrated Motion Planning for Aerial Manipulators,"Safe and Agile Transportation of Cable-Suspended Payload via Multiple
  Aerial Robots"
