paper_a_id,method,research_type,paper_b_id,paper_b_text,paper_c_id,paper_c_text,y_true,y_pred,reason,paperA
neg-1s-0,1,,1206.2966v2,"Panel Data Models with Nonadditive Unobserved Heterogeneity: Estimation
  and Inference; This paper considers fixed effects estimation and inference in linear and
nonlinear panel data models with random coefficients and endogenous regressors.
The quantities of interest -- means, variances, and other moments of the random
coefficients -- are estimated by cross sectional sample moments of GMM
estimators applied separately to the time series of each individual. To deal
with the incidental parameter problem introduced by the noise of the
within-individual estimators in short panels, we develop bias corrections.
These corrections are based on higher-order asymptotic expansions of the GMM
estimators and produce improved point and interval estimates in moderately long
panels. Under asymptotic sequences where the cross sectional and time series
dimensions of the panel pass to infinity at the same rate, the uncorrected
estimator has an asymptotic bias of the same order as the asymptotic variance.
The bias corrections remove the bias without increasing variance. An empirical
example on cigarette demand based on Becker, Grossman and Murphy (1994) shows
significant heterogeneity in the price effect across U.S. states.",2202.03234v1,"Generalised norm resolvent convergence: comparison of different concepts; In this paper, we show that the two concepts of generalised norm resolvent
convergence introduced by Weidmann and the first author of this paper are
equivalent. We also focus on the convergence speed and provide conditions under
which the convergence speed is the same for both concepts. We illustrate the
abstract results by a large number of examples.",False,False,"The concepts from the two papers do not align in a way that allows for a novel multidisciplinary research idea. The first paper focuses on econometric methods for panel data, while the second deals with mathematical convergence concepts, making it challenging to create a feasible and useful research idea that meets all standards.",
neg-1s-1,1,,1506.05620v2,"A parameterized approximation algorithm for the mixed and windy
  Capacitated Arc Routing Problem: theory and experiments; We prove that any polynomial-time $\alpha(n)$-approximation algorithm for the
$n$-vertex metric asymmetric Traveling Salesperson Problem yields a
polynomial-time $O(\alpha(C))$-approximation algorithm for the mixed and windy
Capacitated Arc Routing Problem, where $C$ is the number of weakly connected
components in the subgraph induced by the positive-demand arcs---a small number
in many applications. In conjunction with known results, we obtain
constant-factor approximations for $C\in O(\log n)$ and $O(\log C/\log\log
C)$-approximations in general. Experiments show that our algorithm, together
with several heuristic enhancements, outperforms many previous polynomial-time
heuristics. Finally, since the solution quality achievable in polynomial time
appears to mainly depend on $C$ and since $C=1$ in almost all benchmark
instances, we propose the Ob benchmark set, simulating cities that are divided
into several components by a river.",0901.1400v1,"Variation of quasiconformal mappings on lines; We obtain improved regularity of homeomorphic solutions of the reduced
Beltrami equation, as compared to the standard Beltrami equation. Such an
improvement is not possible in terms of Holder or Sobolev regularity; instead,
our results concern the generalized variation of restrictions to lines.
Specifically, we prove that the restriction to any line segment has finite
p-variation for all p>1 but not necessarily for p=1.",False,False,"The concepts from the two papers do not align in a way that creates a feasible, novel, and useful multidisciplinary research idea. The first paper focuses on algorithmic optimization in routing problems, while the second deals with mathematical properties of quasiconformal mappings, lacking a clear intersection for practical application.",
neg-1s-2,1,,1710.01236v6,"netgwas: An R Package for Network-Based Genome-Wide Association Studies; Graphical models are a powerful tool in modelling and analysing complex
biological associations in high-dimensional data. The R-package netgwas
implements the recent methodological development on copula graphical models to
(i) construct linkage maps, (ii) infer linkage disequilibrium networks from
genotype data, and (iii) detect high-dimensional genotype-phenotype networks.
The netgwas learns the structure of networks from ordinal data and mixed
ordinal-and-continuous data. Here, we apply the functionality in netgwas to
various multivariate example datasets taken from the literature to demonstrate
the kind of insight that can be obtained from the package. We show that our
package offers a more realistic association analysis than the classical
approaches, as it discriminates between direct and induced correlations by
adjusting for the effect of all other variables while performing pairwise
associations. This feature controls for spurious interactions between variables
that can arise from conventional approaches in a biological sense. The netgwas
package uses a parallelization strategy on multi-core processors to speed-up
computations. The netgwas package is freely available at
https://cran.r-project.org/web/packages/netgwas",2103.05504v1,"Status of the wave function of Quantum Mechanics, or, What is Quantum
  Mechanics trying to tell us?; The most debated status of the wave function of Quantum Mechanics is
discussed in the light of the epistemological vs ontological opposition.",False,False,"The concepts from the two papers—network-based genome-wide association studies and the philosophical implications of quantum mechanics—do not easily converge into a feasible, novel, and useful multidisciplinary research idea. The lack of a clear application or experimental validation limits the potential for a meaningful integration.",
neg-1s-3,1,,1011.6268v1,"Quantitative Analysis of Bloggers Collective Behavior Powered by
  Emotions; Large-scale data resulting from users online interactions provide the
ultimate source of information to study emergent social phenomena on the Web.
From individual actions of users to observable collective behaviors, different
mechanisms involving emotions expressed in the posted text play a role. Here we
combine approaches of statistical physics with machine-learning methods of text
analysis to study emergence of the emotional behavior among Web users. Mapping
the high-resolution data from digg.com onto bipartite network of users and
their comments onto posted stories, we identify user communities centered
around certain popular posts and determine emotional contents of the related
comments by the emotion-classifier developed for this type of texts. Applied
over different time periods, this framework reveals strong correlations between
the excess of negative emotions and the evolution of communities. We observe
avalanches of emotional comments exhibiting significant self-organized critical
behavior and temporal correlations. To explore robustness of these critical
states, we design a network automaton model on realistic network connections
and several control parameters, which can be inferred from the dataset.
Dissemination of emotions by a small fraction of very active users appears to
critically tune the collective states.",1905.10982v1,"An Intelligent Monitoring System of Vehicles on Highway Traffic; Vehicle speed monitoring and management of highways is the critical problem
of the road in this modern age of growing technology and population. A poor
management results in frequent traffic jam, traffic rules violation and fatal
road accidents. Using traditional techniques of RADAR, LIDAR and LASAR to
address this problem is time-consuming, expensive and tedious. This paper
presents an efficient framework to produce a simple, cost efficient and
intelligent system for vehicle speed monitoring. The proposed method uses an HD
(High Definition) camera mounted on the road side either on a pole or on a
traffic signal for recording video frames. On the basis of these frames, a
vehicle can be tracked by using radius growing method, and its speed can be
calculated by calculating vehicle mask and its displacement in consecutive
frames. The method uses pattern recognition, digital image processing and
mathematical techniques for vehicle detection, tracking and speed calculation.
The validity of the proposed model is proved by testing it on different
highways.",False,True,"By combining the emotional analysis of online user behavior from Paper 1 with the intelligent vehicle monitoring system from Paper 2, a novel research idea could emerge that explores how emotional states of drivers (inferred from social media) influence traffic patterns and safety, making it both feasible and useful.",
neg-1s-4,1,,1911.00431v2,"Composition of Bhargava's Cubes over Number Fields; In this paper, the composition of Bhargava's cubes is generalized to the ring
of integers of a number field of narrow class number one, excluding the case of
totally imaginary number fields.",1604.05350v1,"Counting and Enumerating Crossing-free Geometric Graphs; We describe a framework for counting and enumerating various types of
crossing-free geometric graphs on a planar point set. The framework generalizes
ideas of Alvarez and Seidel, who used them to count triangulations in time
$O(2^nn^2)$ where $n$ is the number of points. The main idea is to reduce the
problem of counting geometric graphs to counting source-sink paths in a
directed acyclic graph.
  The following new results will emerge. The number of all crossing-free
geometric graphs can be computed in time $O(c^nn^4)$ for some $c < 2.83929$.
The number of crossing-free convex partitions can be computed in time
$O(2^nn^4)$. The number of crossing-free perfect matchings can be computed in
time $O(2^nn^4)$. The number of convex subdivisions can be computed in time
$O(2^nn^4)$. The number of crossing-free spanning trees can be computed in time
$O(c^nn^4)$ for some $c < 7.04313$. The number of crossing-free spanning cycles
can be computed in time $O(c^nn^4)$ for some $c < 5.61804$.
  With the same bounds on the running time we can construct data structures
which allow fast enumeration of the respective classes. For example, after
$O(2^nn^4)$ time of preprocessing we can enumerate the set of all crossing-free
perfect matchings using polynomial time per enumerated object. For
crossing-free perfect matchings and convex partitions we further obtain
enumeration algorithms where the time delay for each (in particular, the first)
output is bounded by a polynomial in $n$.
  All described algorithms are comparatively simple, both in terms of their
analysis and implementation.",False,False,"The concepts from the two papers are too distinct, with one focusing on number theory and the other on geometric graph theory. While interdisciplinary connections can be made, they do not converge into a single novel, feasible, and useful research idea that meets all the specified standards.",
neg-1s-5,1,,2111.09414v1,"Developmental Status and Perspectives for Tissue Engineering in Urology; Tissue engineering technology and tissue cell-based stem cell research have
made great strides in treating tissue and organ damage, correcting tissue and
organ dysfunction, and reducing surgical complications. In the past,
traditional methods have used biological substitutes for tissue repair
materials, while tissue engineering technology has focused on merging sperm
cells with biological materials to form biological tissues with the same
structure and function as their own tissues. The advantage is that tissue
engineering technology can overcome donors. Material procurement restrictions
can effectively reduce complications. The aim of studying tissue engineering
technology is to find sperm cells and suitable biological materials to replace
the original biological functions of tissues and to establish a suitable in
vivo microenvironment. This article mainly describes the current developments
of tissue engineering in various fields of urology and discusses the future
trends of tissue engineering technology in the treatment of complex diseases of
the urinary system. The results of the research in this article indicate that
while the current clinical studies are relatively few, the good results from
existing animal model studies indicate good prospects of tissue engineering
technology for the treatment of various urinary tract diseases in the future.",1401.0087v1,"Contributors of carbon dioxide in the atmosphere in Europe: the surface
  response analysis; This paper is a continuation of the statistical modeling of the nonlinear
relationship between atmospheric CO2 and attributable variables that can
account for emissions, based on data from EU countries, in order to compare the
relevant findings to those obtained in the case of US data, in [1, 2]. The
current study was initiated in [3], leading to the optimal second-order model,
based on three linear terms and five second-order terms. We conclude this study
in the present work, by finding the canonical decomposition of the nonlinear
model, and by computing the specific two-dimensional confidence regions that it
leads to. We then use the model in order to quantify the net effect of various
risk factors, and compare to the results obtained in the US case.",False,False,"The concepts from the two papers do not align in a way that allows for a feasible multidisciplinary research idea. Tissue engineering in urology focuses on biological applications, while the second paper deals with statistical modeling of CO2 emissions, lacking a clear intersection for a novel and useful research idea.",
neg-1s-6,1,,2104.11365v1,"Can You Trust Your Trust Measure?; Trust in human-robot interactions (HRI) is measured in two main ways: through
subjective questionnaires and through behavioral tasks. To optimize
measurements of trust through questionnaires, the field of HRI faces two
challenges: the development of standardized measures that apply to a variety of
robots with different capabilities, and the exploration of social and
relational dimensions of trust in robots (e.g., benevolence). In this paper we
look at how different trust questionnaires fare given these challenges that
pull in different directions (being general vs. being exploratory) by studying
whether people think the items in these questionnaires are applicable to
different kinds of robots and interactions. In Study 1 we show that after being
presented with a robot (non-humanoid) and an interaction scenario (fire
evacuation), participants rated multiple questionnaire items such as ""This
robot is principled"" as ""Non-applicable to robots in general"" or
""Non-applicable to this robot"". In Study 2 we show that the frequency of these
ratings change (indeed, even for items rated as N/A to robots in general) when
a new scenario is presented (game playing with a humanoid robot). Finally,
while overall trust scores remained robust to N/A ratings, our results revealed
potential fallacies in the way these scores are commonly interpreted. We
conclude with recommendations for the development, use and results-reporting of
trust questionnaires for future studies, as well as theoretical implications
for the field of HRI.",1806.06696v1,"SMOGS: Social Network Metrics of Game Success; This paper develops metrics from a social network perspective that are
directly translatable to the outcome of a basketball game. We extend a
state-of-the-art multi-resolution stochastic process approach to modeling
basketball by modeling passes between teammates as directed dynamic relational
links on a network and introduce multiplicative latent factors to study
higher-order patterns in players' interactions that distinguish a successful
game from a loss. Parameters are estimated using a Markov chain Monte Carlo
sampler. Results in simulation experiments suggest that the sampling scheme is
effective in recovering the parameters. We then apply the model to the first
high-resolution optical tracking dataset collected in college basketball games.
The learned latent factors demonstrate significant differences between players'
passing and receiving tendencies in a loss than those in a win. The model is
applicable to team sports other than basketball, as well as other time-varying
network observations.",False,True,"By combining trust measurement in human-robot interactions with social network metrics from sports, a novel research idea could explore how trust dynamics among team members (including robots) influence game outcomes. This idea is feasible, as it can be validated through experimental studies in team settings.",
neg-1s-7,1,,2311.05862v1,"Emergence and reconfiguration of modular structure for synaptic neural
  networks during continual familiarity detection; While advances in artificial intelligence and neuroscience have enabled the
emergence of neural networks capable of learning a wide variety of tasks, our
understanding of the temporal dynamics of these networks remains limited. Here,
we study the temporal dynamics during learning of Hebbian Feedforward (HebbFF)
neural networks in tasks of continual familiarity detection. Drawing
inspiration from the field of network neuroscience, we examine the network's
dynamic reconfiguration, focusing on how network modules evolve throughout
learning. Through a comprehensive assessment involving metrics like network
accuracy, modular flexibility, and distribution entropy across diverse learning
modes, our approach reveals various previously unknown patterns of network
reconfiguration. In particular, we find that the emergence of network
modularity is a salient predictor of performance, and that modularization
strengthens with increasing flexibility throughout learning. These insights not
only elucidate the nuanced interplay of network modularity, accuracy, and
learning dynamics but also bridge our understanding of learning in artificial
and biological realms.",1305.0983v2,"Real-Time Welfare-Maximizing Regulation Allocation in Dynamic
  Aggregator-EVs System; The concept of vehicle-to-grid (V2G) has gained recent interest as more and
more electric vehicles (EVs) are put to use. In this paper, we consider a
dynamic aggregator-EVs system, where an aggregator centrally coordinates a
large number of dynamic EVs to perform regulation service. We propose a
Welfare-Maximizing Regulation Allocation (WMRA) algorithm for the aggregator to
fairly allocate the regulation amount among its EVs. Compared to previous
works, WMRA accommodates a wide spectrum of vital system characteristics,
including dynamics of EV, limited EV battery size, EV battery degradation cost,
and the cost of using external energy sources for the aggregator. The algorithm
operates in real time and does not require any prior knowledge of the
statistical information of the system. Theoretically, we demonstrate that WMRA
is away from the optimum by O(1/V), where V is a controlling parameter
depending on EV's battery size. In addition, our simulation results indicate
that WMRA can substantially outperform a suboptimal greedy algorithm.",False,True,"The integration of dynamic modular neural networks from Paper 1 with the real-time regulation allocation for EVs from Paper 2 can lead to a novel system that optimizes EV energy management using adaptive learning algorithms. This idea is feasible, experimental, and addresses real-world energy challenges effectively.",
neg-1s-8,1,,1309.6610v3,"Adversarial Multiple Access Channels with Individual Injection Rates; We study deterministic distributed broadcasting in synchronous
multiple-access channels. Packets are injected into $n$ nodes by a window-type
adversary that is constrained by a window $w$ and injection rates individually
assigned to all nodes. We investigate what queue size and packet latency can be
achieved with the maximum aggregate injection rate of one packet per round,
depending on properties of channels and algorithms. We give a non-adaptive
algorithm for channels with collision detection and an adaptive algorithm for
channels without collision detection that achieve $O(\min(n+w,w\log n))$ packet
latency. We show that packet latency has to be either $\Omega(w \max (1,\log_w
n))$, when $w\le n$, or $\Omega(w+n)$, when $w>n$, as a matching lower bound to
these algorithms. We develop a non-adaptive algorithm for channels without
collision detection that achieves $O(n+w)$ queue size and $O(nw)$ packet
latency. This is in contrast with the adversarial model of global injection
rates, in which non-adaptive algorithms with bounded packet latency do not
exist (Chlebus et al. Distributed Computing 22(2): 93 - 116, 2009). Our
algorithm avoids collisions produced by simultaneous transmissions; we show
that any algorithm with this property must have $\Omega(nw)$ packet latency.",1103.5665v1,"Evaluating the Precision of Estimators of Quantile-Based Risk Measures; This paper examines the precision of estimators of Quantile-Based Risk
Measures (Value at Risk, Expected Shortfall, Spectral Risk Measures). It first
addresses the question of how to estimate the precision of these estimators,
and proposes a Monte Carlo method that is free of some of the limitations of
existing approaches. It then investigates the distribution of risk estimators,
and presents simulation results suggesting that the common practice of relying
on asymptotic normality results might be unreliable with the sample sizes
commonly available to them. Finally, it investigates the relationship between
the precision of different risk estimators and the distribution of underlying
losses (or returns), and yields a number of useful conclusions.",False,False,"The concepts from the two papers do not align in a way that creates a feasible, novel, and useful multidisciplinary research idea. The first paper focuses on communication algorithms, while the second deals with risk estimation methods, lacking a clear intersection for practical application.",
neg-1s-9,1,,2303.17696v1,"Dual Cross-Attention for Medical Image Segmentation; We propose Dual Cross-Attention (DCA), a simple yet effective attention
module that is able to enhance skip-connections in U-Net-based architectures
for medical image segmentation. DCA addresses the semantic gap between encoder
and decoder features by sequentially capturing channel and spatial dependencies
across multi-scale encoder features. First, the Channel Cross-Attention (CCA)
extracts global channel-wise dependencies by utilizing cross-attention across
channel tokens of multi-scale encoder features. Then, the Spatial
Cross-Attention (SCA) module performs cross-attention to capture spatial
dependencies across spatial tokens. Finally, these fine-grained encoder
features are up-sampled and connected to their corresponding decoder parts to
form the skip-connection scheme. Our proposed DCA module can be integrated into
any encoder-decoder architecture with skip-connections such as U-Net and its
variants. We test our DCA module by integrating it into six U-Net-based
architectures such as U-Net, V-Net, R2Unet, ResUnet++, DoubleUnet and
MultiResUnet. Our DCA module shows Dice Score improvements up to 2.05% on GlaS,
2.74% on MoNuSeg, 1.37% on CVC-ClinicDB, 1.12% on Kvasir-Seg and 1.44% on
Synapse datasets. Our codes are available at:
https://github.com/gorkemcanates/Dual-Cross-Attention",2010.13149v3,"Approximating Aggregated SQL Queries With LSTM Networks; Despite continuous investments in data technologies, the latency of querying
data still poses a significant challenge. Modern analytic solutions require
near real-time responsiveness both to make them interactive and to support
automated processing. Current technologies (Hadoop, Spark, Dataflow) scan the
dataset to execute queries. They focus on providing a scalable data storage to
maximize task execution speed. We argue that these solutions fail to offer an
adequate level of interactivity since they depend on continual access to data.
In this paper we present a method for query approximation, also known as
approximate query processing (AQP), that reduce the need to scan data during
inference (query calculation), thus enabling a rapid query processing tool. We
use LSTM network to learn the relationship between queries and their results,
and to provide a rapid inference layer for predicting query results. Our method
(referred as ``Hunch``) produces a lightweight LSTM network which provides a
high query throughput. We evaluated our method using twelve datasets and
compared to state-of-the-art AQP engines (VerdictDB, BlinkDB) from query
latency, model weight and accuracy perspectives. The results show that our
method predicted queries' results with a normalized root mean squared error
(NRMSE) ranging from approximately 1\% to 4\% which in the majority of our data
sets was better then the compared benchmarks. Moreover, our method was able to
predict up to 120,000 queries in a second (streamed together), and with a
single query latency of no more than 2ms.",False,False,"While both papers present innovative techniques in their respective fields, the concepts from medical image segmentation and SQL query approximation do not easily converge into a cohesive multidisciplinary research idea that meets all the specified standards of feasibility, novelty, and usefulness.",
