paper_a_id,method,research_type,paper_b_id,paper_b_text,paper_c_id,paper_c_text,y_true,y_pred,reason,paperA
neg-1s-0,1,,2101.03214v1,"Exploring the association between R&D expenditure and the job quality in
  the European Union; Investment in research and development is a key factor in increasing
countries' competitiveness. However, its impact can potentially be broader and
include other socially relevant elements like job quality. In effect, the
quantity of generated jobs is an incomplete indicator since it does not allow
to conclude on the quality of the job generated. In this sense, this paper
intends to explore the relevance of R&D investments for the job quality in the
European Union between 2009 and 2018. For this purpose, we investigate the
effects of R&D expenditures made by the business sector, government, and higher
education sector on three dimensions of job quality. Three research methods are
employed, i.e. univariate linear analysis, multiple linear analysis, and
cluster analysis. The findings only confirm the association between R&D
expenditure and the number of hours worked, such that the European Union
countries with the highest R&D expenses are those with the lowest average
weekly working hours.",2101.03259v2,"Ramadan and Infants Health Outcomes; Previous studies show that prenatal shocks to embryos could have adverse
impacts on health endowment at birth. Using the universe of birth data and a
difference-in-difference-in-difference strategy, I find that exposure to
Ramadan during prenatal development has negative birth outcomes. Exposure to a
full month of fasting is associated with 96 grams lower birth-weight. These
results are robust across specifications and do not appear to be driven by
mothers selective fertility.",False,False,"The two papers address distinct domains—economic R&D impacts on job quality and prenatal health effects of Ramadan fasting—making it challenging to combine their concepts into a novel, feasible, and useful multidisciplinary research idea that meets all the required standards.",
neg-1s-1,1,,2211.02854v3,"Rate-Distortion Optimized Post-Training Quantization for Learned Image
  Compression; Quantizing a floating-point neural network to its fixed-point representation
is crucial for Learned Image Compression (LIC) because it improves decoding
consistency for interoperability and reduces space-time complexity for
implementation. Existing solutions often have to retrain the network for model
quantization, which is time-consuming and impractical to some extent. This work
suggests using Post-Training Quantization (PTQ) to process pretrained,
off-the-shelf LIC models. We theoretically prove that minimizing
quantization-induced mean square error (MSE) of model parameters (e.g., weight,
bias, and activation) in PTQ is sub-optimal for compression tasks and thus
develop a novel Rate-Distortion (R-D) Optimized PTQ (RDO-PTQ) to best retain
the compression performance. Given a LIC model, RDO-PTQ layer-wisely determines
the quantization parameters to transform the original floating-point parameters
in 32-bit precision (FP32) to fixed-point ones at 8-bit precision (INT8), for
which a tiny calibration image set is compressed in optimization to minimize
R-D loss. Experiments reveal the outstanding efficiency of the proposed method
on different LICs, showing the closest coding performance to their
floating-point counterparts. Our method is a lightweight and plug-and-play
approach without retraining model parameters but just adjusting quantization
parameters, which is attractive to practitioners. Such an RDO-PTQ is a
task-oriented PTQ scheme, which is then extended to quantize popular
super-resolution and image classification models with negligible performance
loss, further evidencing the generalization of our methodology. Related
materials will be released at https://njuvision.github.io/RDO-PTQ.",2211.04238v1,"HDRfeat: A Feature-Rich Network for High Dynamic Range Image
  Reconstruction; A major challenge for high dynamic range (HDR) image reconstruction from
multi-exposed low dynamic range (LDR) images, especially with dynamic scenes,
is the extraction and merging of relevant contextual features in order to
suppress any ghosting and blurring artifacts from moving objects. To tackle
this, in this work we propose a novel network for HDR reconstruction with deep
and rich feature extraction layers, including residual attention blocks with
sequential channel and spatial attention. For the compression of the
rich-features to the HDR domain, a residual feature distillation block (RFDB)
based architecture is adopted. In contrast to earlier deep-learning methods for
HDR, the above contributions shift focus from merging/compression to feature
extraction, the added value of which we demonstrate with ablation experiments.
We present qualitative and quantitative comparisons on a public benchmark
dataset, showing that our proposed method outperforms the state-of-the-art.",False,False,"The combination of ideas from both papers remains within the realm of image processing and machine learning, lacking integration from distinct disciplines. Additionally, the proposed integration may not sufficiently meet novelty and multidisciplinary standards.",
neg-1s-2,1,,2408.07227v1,"Stablecoin Runs and Disclosure Policy in the Presence of Large Sales; Stablecoins have historically depegged due from par to large sales, possibly
of speculative nature, or poor reserve asset quality. Using a global game which
addresses both concerns, we show that the selling pressure on stablecoin
holders increases in the presence of a large sale. While precise public
knowledge reduces (increases) the probability of a run when fundamentals are
strong (weak), interestingly, more precise private signals increase (reduce)
the probability of a run when fundamentals are strong (weak), potentially
explaining the stability of opaque stablecoins. The total run probability can
be decomposed into components representing risks from large sales and poor
collateral. By analyzing how these risk components vary with respect to
information uncertainty and fundamentals, we can split the fundamental space
into regions based on the type of risk a stablecoin issuer is more prone to. We
suggest testable implications and connect our model's implications to
real-world applications, including depegging events and the no-questions-asked
property of money.",2408.08866v1,"High-Frequency Options Trading | With Portfolio Optimization; This paper explores the effectiveness of high-frequency options trading
strategies enhanced by advanced portfolio optimization techniques,
investigating their ability to consistently generate positive returns compared
to traditional long or short positions on options. Utilizing SPY options data
recorded in five-minute intervals over a one-month period, we calculate key
metrics such as Option Greeks and implied volatility, applying the Binomial
Tree model for American options pricing and the Newton-Raphson algorithm for
implied volatility calculation. Investment universes are constructed based on
criteria like implied volatility and Greeks, followed by the application of
various portfolio optimization models, including Standard Mean-Variance and
Robust Methods. Our research finds that while basic long-short strategies
centered on implied volatility and Greeks generally underperform, more
sophisticated strategies incorporating advanced Greeks, such as Vega and Rho,
along with dynamic portfolio optimization, show potential in effectively
navigating the complexities of the options market. The study highlights the
importance of adaptability and responsiveness in dynamic portfolio strategies
within the high-frequency trading environment, particularly under volatile
market conditions. Future research could refine strategy parameters and explore
less frequently traded options, offering new insights into high-frequency
options trading and portfolio management.",False,False,"Combining stablecoin run dynamics with high-frequency options trading does not clearly meet all multidisciplinary standards, as the concepts may not integrate seamlessly to form a novel, feasible, and useful research idea.",
neg-1s-3,1,,2405.17656v1,"Alignment is Key for Applying Diffusion Models to Retrosynthesis; Retrosynthesis, the task of identifying precursors for a given molecule, can
be naturally framed as a conditional graph generation task. Diffusion models
are a particularly promising modelling approach, enabling post-hoc conditioning
and trading off quality for speed during generation. We show mathematically
that permutation equivariant denoisers severely limit the expressiveness of
graph diffusion models and thus their adaptation to retrosynthesis. To address
this limitation, we relax the equivariance requirement such that it only
applies to aligned permutations of the conditioning and the generated graphs
obtained through atom mapping. Our new denoiser achieves the highest top-$1$
accuracy ($54.7$\%) across template-free and template-based methods on
USPTO-50k. We also demonstrate the ability for flexible post-training
conditioning and good sample quality with small diffusion step counts,
highlighting the potential for interactive applications and additional controls
for multi-step planning.",2405.18051v3,"Predicting Progression Events in Multiple Myeloma from Routine Blood
  Work; The ability to accurately predict disease progression is paramount for
optimizing multiple myeloma patient care. This study introduces a hybrid neural
network architecture, combining Long Short-Term Memory networks with a
Conditional Restricted Boltzmann Machine, to predict future blood work of
affected patients from a series of historical laboratory results. We
demonstrate that our model can replicate the statistical moments of the time
series ($0.95~\pm~0.01~\geq~R^2~\geq~0.83~\pm~0.03$) and forecast future blood
work features with high correlation to actual patient data
($0.92\pm0.02~\geq~r~\geq~0.52~\pm~0.09$). Subsequently, a second Long
Short-Term Memory network is employed to detect and annotate disease
progression events within the forecasted blood work time series. We show that
these annotations enable the prediction of progression events with significant
reliability (AUROC$~=~0.88~\pm~0.01$), up to 12 months in advance
(AUROC($t+12~$mos)$~=0.65~\pm~0.01$). Our system is designed in a modular
fashion, featuring separate entities for forecasting and progression event
annotation. This structure not only enhances interpretability but also
facilitates the integration of additional modules to perform subsequent
operations on the generated outputs. Our approach utilizes a minimal set of
routine blood work measurements, which avoids the need for expensive or
resource-intensive tests and ensures accessibility of the system in clinical
routine. This capability allows for individualized risk assessment and making
informed treatment decisions tailored to a patient's unique disease kinetics.
The represented approach contributes to the development of a scalable and
cost-effective virtual human twin system for optimized healthcare resource
utilization and improved patient outcomes in multiple myeloma care.",False,False,"The abstracts belong to distinct domains (computational chemistry and medical informatics) with limited overlapping concepts, making it challenging to combine them into a novel, feasible, and useful multidisciplinary research idea that meets all the specified standards.",
neg-1s-4,1,,1701.03139v2,"Bounding, an accessible method for estimating principal causal effects,
  examined and explained; Estimating treatment effects for subgroups defined by post-treatment behavior
(i.e., estimating causal effects in a principal stratification framework) can
be technically challenging and heavily reliant on strong assumptions. We
investigate an alternative path: using bounds to identify ranges of possible
effects that are consistent with the data. This simple approach relies on fewer
assumptions and yet can result in policy-relevant findings. As we show,
covariates can be used to substantially tighten bounds in a straightforward
manner. Via simulation, we demonstrate which types of covariates are maximally
beneficial. We conclude with an analysis of a multi-site experimental study of
Early College High Schools. When examining the program's impact on students
completing the ninth grade ""on-track"" for college, we find little impact for
ECHS students who would otherwise attend a high quality high school, but
substantial effects for those who would not. This suggests potential benefit in
expanding these programs in areas primarily served by lower quality schools.",1701.03569v1,"Bivariate Discrete Generalized Exponential Distribution; In this paper we develop a bivariate discrete generalized exponential
distribution, whose marginals are discrete generalized exponential distribution
as proposed by Nekoukhou, Alamatsaz and Bidram (""Discrete generalized
exponential distribution of a second type"", Statistics, 47, 876 - 887, 2013).
It is observed that the proposed bivariate distribution is a very flexible
distribution and the bivariate geometric distribution can be obtained as a
special case of this distribution. The proposed distribution can be seen as a
natural discrete analogue of the bivariate generalized exponential distribution
proposed by Kundu and Gupta (""Bivariate generalized exponential distribution"",
Journal of Multivariate Analysis, 100, 581 - 593, 2009). We study different
properties of this distribution and explore its dependence structures. We
propose a new EM algorithm to compute the maximum likelihood estimators of the
unknown parameters which can be implemented very efficiently, and discuss some
inferential issues also. The analysis of one data set has been performed to
show the effectiveness of the proposed model. Finally we propose some open
problems and conclude the paper.",False,True,"Combining causal bounding methods with a flexible bivariate discrete distribution can create a novel framework for estimating treatment effects with complex covariate relationships. This multidisciplinary approach is feasible, innovative, and can effectively enhance policy-relevant causal analyses.",
neg-1s-5,1,,2412.19555v1,"Asymptotic Properties of the Maximum Likelihood Estimator for
  Markov-switching Observation-driven Models; A Markov-switching observation-driven model is a stochastic process
$((S_t,Y_t))_{t \in \mathbb{Z}}$ where (i) $(S_t)_{t \in \mathbb{Z}}$ is an
unobserved Markov process taking values in a finite set and (ii) $(Y_t)_{t \in
\mathbb{Z}}$ is an observed process such that the conditional distribution of
$Y_t$ given all past $Y$'s and the current and all past $S$'s depends only on
all past $Y$'s and $S_t$. In this paper, we prove the consistency and
asymptotic normality of the maximum likelihood estimator for such model. As a
special case hereof, we give conditions under which the maximum likelihood
estimator for the widely applied Markov-switching generalised autoregressive
conditional heteroscedasticity model introduced by Haas et al. (2004b) is
consistent and asymptotic normal.",2412.21181v1,"Causal Hangover Effects; It's not unreasonable to think that in-game sporting performance can be
affected partly by what takes place off the court. We can't observe what
happens between games directly. Instead, we proxy for the possibility of
athletes partying by looking at play following games in party cities. We are
interested to see if teams exhibit a decline in performance the day following a
game in a city with active nightlife; we call this a ""hangover effect"". Part of
the question is determining a reasonable way to measure levels of nightlife,
and correspondingly which cities are notorious for it; we colloquially refer to
such cities as ""party cities"". To carry out this study, we exploit data on
bookmaker spreads: the expected score differential between two teams after
conditioning on observable performance in past games and expectations about the
upcoming game. We expect a team to meet the spread half the time, since this is
one of the easiest ways for bookmakers to guarantee a profit. We construct a
model which attempts to estimate the causal effect of visiting a ""party city""
on subsequent day performance as measured by the odds of beating the spread. In
particular, we only consider the hangover effect on games played back-to-back
within 24 hours of each other. To the extent that odds of beating the spread
against next day opponent is uncorrelated with playing in a party city the day
before, which should be the case under an efficient betting market, we have
identification in our variable of interest. We find that visiting a city with
active nightlife the day prior to a game does have a statistically significant
negative effect on a team's likelihood of meeting bookmakers' expectations for
both NBA and MLB.",False,True,"Combining Markov-switching models with sports performance analysis offers a novel, feasible approach to empirically validate hidden factors like ""hangover effects,"" effectively merging advanced statistical methods with sports economics research.",
neg-1s-6,1,,1412.0459v2,"On Bayesian based adaptive confidence sets for linear functionals; We consider the problem of constructing Bayesian based confidence sets for
linear functionals in the inverse Gaussian white noise model. We work with a
scale of Gaussian priors indexed by a regularity hyper-parameter and apply the
data-driven (slightly modified) marginal likelihood empirical Bayes method for
the choice of this hyper-parameter. We show by theory and simulations that the
credible sets constructed by this method have sub-optimal behaviour in general.
However, by assuming ""self-similarity"" the credible sets have rate-adaptive
size and optimal coverage. As an application of these results we construct
$L_{\infty}$-credible bands for the true functional parameter with adaptive
size and optimal coverage under self-similarity constraint.",1412.0705v4,"Exponentaited generalized Weibull Gompertz distribution; This paper introduces studies on exponentaited generalized Weibull Gompertz
distribution EGWGD which generalizes a lot of distributions. Several properties
of the EGWGD such as reversed (hazard) function, moments, maximum likelihood
estimation, mean residual (past) lifetime, MTTF, MTTR, MTBF, maintainability,
availability and order statistics are studied in this paper. A real data set is
analyzed and it is observed that the present distribution can provide a better
fit than some other very well known distributions",False,False,"Combining Bayesian confidence sets with a new distribution may lack clear feasibility and demonstrated novelty, failing to ensure all multidisciplinary standards are fully met.",
neg-1s-7,1,,1206.2212v3,"A simple method for finite range decomposition of quadratic forms and
  Gaussian fields; We present a simple method to decompose the Green forms corresponding to a
large class of interesting symmetric Dirichlet forms into integrals over
symmetric positive semi-definite and finite range (properly supported) forms
that are smoother than the original Green form. This result gives rise to
multiscale decompositions of the associated Gaussian free fields into sums of
independent smoother Gaussian fields with spatially localized correlations. Our
method makes use of the finite propagation speed of the wave equation and
Chebyshev polynomials. It improves several existing results and also gives
simpler proofs.",1206.2251v2,"A Necessary and Sufficient Condition for Edge Universality of Wigner
  matrices; In this paper, we prove a necessary and sufficient condition for Tracy-Widom
law of Wigner matrices. Consider $N \times N$ symmetric Wigner matrices $H$
with $H_{ij} = N^{-1/2} x_{ij}$, whose upper right entries $x_{ij}$ $(1\le i<
j\le N)$ are $i.i.d.$ random variables with distribution $\mu$ and diagonal
entries $x_{ii}$ $(1\le i\le N)$ are $i.i.d.$ random variables with
distribution $\wt \mu$. The means of $\mu$ and $\wt \mu$ are zero, the variance
of $\mu$ is 1, and the variance of $\wt \mu $ is finite. We prove that
Tracy-Widom law holds if and only if $\lim_{s\to \infty}s^4\p(|x_{12}| \ge
s)=0$. The same criterion holds for Hermitian Wigner matrices.",False,False,"The abstracts from finite range decomposition in Gaussian fields and edge universality in Wigner matrices do not clearly combine into a multidisciplinary idea that satisfies all the required standards of feasibility, novelty, and usefulness.",
neg-1s-8,1,,2105.08626v1,"Light Gradient Boosting Machine as a Regression Method for Quantitative
  Structure-Activity Relationships; In the pharmaceutical industry, where it is common to generate many QSAR
models with large numbers of molecules and descriptors, the best QSAR methods
are those that can generate the most accurate predictions but that are also
insensitive to hyperparameters and are computationally efficient. Here we
compare Light Gradient Boosting Machine (LightGBM) to random forest,
single-task deep neural nets, and Extreme Gradient Boosting (XGBoost) on 30
in-house data sets. While any boosting algorithm has many adjustable
hyperparameters, we can define a set of standard hyperparameters at which
LightGBM makes predictions about as accurate as single-task deep neural nets,
but is a factor of 1000-fold faster than random forest and ~4-fold faster than
XGBoost in terms of total computational time for the largest models. Another
very useful feature of LightGBM is that it includes a native method for
estimating prediction intervals.",2105.08835v2,"Conformational variability of loops in the SARS-CoV-2 spike protein; The SARS-CoV-2 spike (S) protein facilitates viral infection, and has been
the focus of many structure determination efforts. Its flexible loop regions
are known to be involved in protein binding and may adopt multiple
conformations. This paper identifies the S protein loops and studies their
conformational variability based on the available Protein Data Bank (PDB)
structures. While most loops had essentially one stable conformation, 17 of 44
loop regions were observed to be structurally variable with multiple
substantively distinct conformations based on a cluster analysis. Loop modeling
methods were then applied to the S protein loop targets, and the prediction
accuracies discussed in relation to the characteristics of the conformational
clusters identified. Loops with multiple conformations were found to be
challenging to model based on a single structural template.",False,True,"Combining LightGBM's efficient predictive modeling with SARS-CoV-2 spike protein loop variability offers a novel, feasible approach to accurately predict loop conformations, leveraging multidisciplinary techniques from machine learning and structural biology to address protein modeling challenges.",
neg-1s-9,1,,1603.03593v1,"Fast Detection of Block Boundaries in Block Wise Constant Matrices: An
  Application to HiC data; We propose a novel approach for estimating the location of block boundaries
(change-points) in a random matrix consisting of a block wise constant matrix
observed in white noise. Our method consists in rephrasing this task as a
variable selection issue. We use a penalized least-squares criterion with an
$\ell_1$-type penalty for dealing with this issue. We first provide some
theoretical results ensuring the consistency of our change-point estimators.
Then, we explain how to implement our method in a very efficient way. Finally,
we provide some empirical evidence to support our claims and apply our approach
to HiC data which are used in molecular biology for better understanding the
influence of the chromosomal conformation on the cells functioning.",1603.04189v2,"A Change-Point Model for Detecting Heterogeneity in Ordered Survival
  Responses; In this article we suggest a new statistical approach considering survival
heterogeneity as a breakpoint model in an ordered sequence of time to event
variables. The survival responses need to be ordered according to a numerical
covariate. Our esti- mation method will aim at detecting heterogeneity that
could arise through the or- dering covariate. We formally introduce our model
as a constrained Hidden Markov Model (HMM) where the hidden states are the
unknown segmentation (breakpoint locations) and the observed states are the
survival responses. We derive an efficient Expectation-Maximization (EM)
framework for maximizing the likelihood of this model for a wide range of
baseline hazard forms (parametrics or nonparametric). The posterior
distribution of the breakpoints is also derived and the selection of the number
of segments using penalized likelihood criterion is discussed. The performance
of our survival breakpoint model is finally illustrated on a diabetes dataset
where the observed survival times are ordered according to the calendar time of
disease onset.",False,True,"Combining change-point detection methods from matrix analysis with survival breakpoint models offers a novel, feasible approach applicable to complex biological data. This multidisciplinary idea integrates statistical techniques from both papers, is innovative, can be experimentally validated, and addresses meaningful problems in fields like genomics and epidemiology.",
